year,month,week,nuts,totalmort,mean_maxt,mean_mint,mean_avgt,precipitation,snow
2015,1,1,NL112,10,5.649057865142822,1.7310811281204224,3.6925933361053467,2.9572622776031494,0.13184548914432526
2015,1,1,NL124,65,5.9415411949157715,2.195594310760498,4.081546783447266,3.0961756706237793,0.08220942318439484
2015,1,1,NL125,25,5.780860424041748,2.2334179878234863,4.0057597160339355,3.086082696914673,0.007123267278075218
2015,1,1,NL126,41,5.6953301429748535,1.8212592601776123,3.759553909301758,3.198685884475708,0.21073037385940552
2015,1,1,NL131,47,5.573367118835449,1.6558045148849487,3.630549907684326,3.4001152515411377,0.5577183961868286
2015,1,1,NL132,38,5.561980247497559,1.6932682991027832,3.627514600753784,3.6077802181243896,0.34714218974113464
2015,1,1,NL133,28,5.601052761077881,1.7650731801986694,3.6992568969726562,3.488028049468994,0.24439366161823273
2015,1,1,NL211,66,5.612204074859619,1.8448278903961182,3.7365520000457764,3.375589370727539,0.2030494064092636
2015,1,1,NL212,45,5.636523246765137,1.7615221738815308,3.7104108333587646,3.7353878021240234,0.24193547666072845
2015,1,1,NL213,127,5.532987594604492,1.6250616312026978,3.5862720012664795,3.6152970790863037,0.4540448784828186
2015,1,1,NL221,132,5.573214530944824,1.5672633647918701,3.5776093006134033,3.767441749572754,0.03474942967295647
2015,1,1,NL224,42,5.772769927978516,1.3883625268936157,3.6004064083099365,3.762038469314575,0.03489876538515091
2015,1,1,NL225,78,5.603251934051514,1.4260133504867554,3.5137367248535156,3.6121020317077637,0.46083515882492065
2015,1,1,NL226,131,5.681740760803223,1.1610220670700073,3.4379663467407227,4.271563529968262,0.06144341453909874
2015,1,1,NL230,45,5.713399410247803,1.9596866369247437,3.8358259201049805,3.409135580062866,0
2015,1,1,NL310,206,6.004991054534912,1.9785245656967163,4.0051116943359375,3.6144773960113525,0.0008531230851076543
2015,1,1,NL321,58,6.516867637634277,2.745713233947754,4.638027191162109,3.667731523513794,0.006780420895665884
2015,1,1,NL323,49,6.451612949371338,2.6483871936798096,4.5580644607543945,3.225806474685669,0
2015,1,1,NL324,52,6.419508457183838,2.415283441543579,4.429693698883057,3.376047134399414,0
2015,1,1,NL325,38,6.4434356689453125,2.6469268798828125,4.552369594573975,3.250776767730713,0
2015,1,1,NL327,60,6.060093402862549,2.0258336067199707,4.050114154815674,3.5671000480651855,0
2015,1,1,NL328,32,6.541444301605225,2.8949663639068604,4.716296195983887,3.5753631591796875,0
2015,1,1,NL329,225,6.323164939880371,2.28429913520813,4.312910079956055,3.5925304889678955,0
2015,1,1,NL332,155,6.412374973297119,2.6715810298919678,4.529669284820557,3.5308263301849365,0
2015,1,1,NL333,38,6.437358379364014,2.841142416000366,4.635066032409668,3.688640594482422,0
2015,1,1,NL337,77,6.415702819824219,2.642085313796997,4.526968479156494,3.3461568355560303,0
2015,1,1,NL33A,66,5.9850993156433105,1.702113151550293,3.8626914024353027,3.57840895652771,0.007884918712079525
2015,1,1,NL33B,61,6.180191993713379,1.9681236743927002,4.0872626304626465,3.2567968368530273,0
2015,1,1,NL33C,295,6.4033122062683105,2.6366782188415527,4.512966156005859,3.797664165496826,0.0001217884782818146
2015,1,1,NL341,21,6.599022388458252,2.468236207962036,4.527938365936279,2.9679322242736816,0.003225806402042508
2015,1,1,NL342,45,6.598121166229248,2.9697160720825195,4.7767720222473145,2.919924020767212,0.0027947798371315002
2015,1,1,NL411,131,6.248534202575684,1.829962134361267,4.027552127838135,3.3631889820098877,0.003562952158972621
2015,1,1,NL412,97,6.048403263092041,1.510526180267334,3.776203155517578,3.4934206008911133,0.01920809969305992
2015,1,1,NL413,118,5.983891487121582,1.3100143671035767,3.6584792137145996,3.2768778800964355,0.12761835753917694
2015,1,1,NL414,137,6.042094707489014,1.338809847831726,3.696876049041748,2.9323842525482178,0.1127404198050499
2015,1,1,NL421,61,5.90216588973999,1.4409830570220947,3.682570457458496,2.8630521297454834,0.3846234381198883
2015,1,1,NL422,62,5.9696831703186035,1.6175955533981323,3.81672739982605,3.009085178375244,0.38003331422805786
2015,1,1,NL423,123,5.634092330932617,1.220129132270813,3.4325222969055176,2.9570376873016357,0.32959920167922974
2015,1,2,NL112,10,5.649057865142822,1.7310811281204224,3.6925933361053467,2.9572622776031494,0.13184548914432526
2015,1,2,NL124,59,5.9415411949157715,2.195594310760498,4.081546783447266,3.0961756706237793,0.08220942318439484
2015,1,2,NL125,26,5.780860424041748,2.2334179878234863,4.0057597160339355,3.086082696914673,0.007123267278075218
2015,1,2,NL126,33,5.6953301429748535,1.8212592601776123,3.759553909301758,3.198685884475708,0.21073037385940552
2015,1,2,NL131,48,5.573367118835449,1.6558045148849487,3.630549907684326,3.4001152515411377,0.5577183961868286
2015,1,2,NL132,41,5.561980247497559,1.6932682991027832,3.627514600753784,3.6077802181243896,0.34714218974113464
2015,1,2,NL133,26,5.601052761077881,1.7650731801986694,3.6992568969726562,3.488028049468994,0.24439366161823273
2015,1,2,NL211,70,5.612204074859619,1.8448278903961182,3.7365520000457764,3.375589370727539,0.2030494064092636
2015,1,2,NL212,40,5.636523246765137,1.7615221738815308,3.7104108333587646,3.7353878021240234,0.24193547666072845
2015,1,2,NL213,147,5.532987594604492,1.6250616312026978,3.5862720012664795,3.6152970790863037,0.4540448784828186
2015,1,2,NL221,163,5.573214530944824,1.5672633647918701,3.5776093006134033,3.767441749572754,0.03474942967295647
2015,1,2,NL224,42,5.772769927978516,1.3883625268936157,3.6004064083099365,3.762038469314575,0.03489876538515091
2015,1,2,NL225,76,5.603251934051514,1.4260133504867554,3.5137367248535156,3.6121020317077637,0.46083515882492065
2015,1,2,NL226,139,5.681740760803223,1.1610220670700073,3.4379663467407227,4.271563529968262,0.06144341453909874
2015,1,2,NL230,69,5.713399410247803,1.9596866369247437,3.8358259201049805,3.409135580062866,0
2015,1,2,NL310,222,6.004991054534912,1.9785245656967163,4.0051116943359375,3.6144773960113525,0.0008531230851076543
2015,1,2,NL321,65,6.516867637634277,2.745713233947754,4.638027191162109,3.667731523513794,0.006780420895665884
2015,1,2,NL323,38,6.451612949371338,2.6483871936798096,4.5580644607543945,3.225806474685669,0
2015,1,2,NL324,53,6.419508457183838,2.415283441543579,4.429693698883057,3.376047134399414,0
2015,1,2,NL325,32,6.4434356689453125,2.6469268798828125,4.552369594573975,3.250776767730713,0
2015,1,2,NL327,61,6.060093402862549,2.0258336067199707,4.050114154815674,3.5671000480651855,0
2015,1,2,NL328,41,6.541444301605225,2.8949663639068604,4.716296195983887,3.5753631591796875,0
2015,1,2,NL329,232,6.323164939880371,2.28429913520813,4.312910079956055,3.5925304889678955,0
2015,1,2,NL332,150,6.412374973297119,2.6715810298919678,4.529669284820557,3.5308263301849365,0
2015,1,2,NL333,51,6.437358379364014,2.841142416000366,4.635066032409668,3.688640594482422,0
2015,1,2,NL337,64,6.415702819824219,2.642085313796997,4.526968479156494,3.3461568355560303,0
2015,1,2,NL33A,67,5.9850993156433105,1.702113151550293,3.8626914024353027,3.57840895652771,0.007884918712079525
2015,1,2,NL33B,72,6.180191993713379,1.9681236743927002,4.0872626304626465,3.2567968368530273,0
2015,1,2,NL33C,326,6.4033122062683105,2.6366782188415527,4.512966156005859,3.797664165496826,0.0001217884782818146
2015,1,2,NL341,26,6.599022388458252,2.468236207962036,4.527938365936279,2.9679322242736816,0.003225806402042508
2015,1,2,NL342,73,6.598121166229248,2.9697160720825195,4.7767720222473145,2.919924020767212,0.0027947798371315002
2015,1,2,NL411,123,6.248534202575684,1.829962134361267,4.027552127838135,3.3631889820098877,0.003562952158972621
2015,1,2,NL412,90,6.048403263092041,1.510526180267334,3.776203155517578,3.4934206008911133,0.01920809969305992
2015,1,2,NL413,125,5.983891487121582,1.3100143671035767,3.6584792137145996,3.2768778800964355,0.12761835753917694
2015,1,2,NL414,134,6.042094707489014,1.338809847831726,3.696876049041748,2.9323842525482178,0.1127404198050499
2015,1,2,NL421,63,5.90216588973999,1.4409830570220947,3.682570457458496,2.8630521297454834,0.3846234381198883
2015,1,2,NL422,49,5.9696831703186035,1.6175955533981323,3.81672739982605,3.009085178375244,0.38003331422805786
2015,1,2,NL423,155,5.634092330932617,1.220129132270813,3.4325222969055176,2.9570376873016357,0.32959920167922974
2015,1,3,NL112,19,5.649057865142822,1.7310811281204224,3.6925933361053467,2.9572622776031494,0.13184548914432526
2015,1,3,NL124,71,5.9415411949157715,2.195594310760498,4.081546783447266,3.0961756706237793,0.08220942318439484
2015,1,3,NL125,27,5.780860424041748,2.2334179878234863,4.0057597160339355,3.086082696914673,0.007123267278075218
2015,1,3,NL126,35,5.6953301429748535,1.8212592601776123,3.759553909301758,3.198685884475708,0.21073037385940552
2015,1,3,NL131,41,5.573367118835449,1.6558045148849487,3.630549907684326,3.4001152515411377,0.5577183961868286
2015,1,3,NL132,42,5.561980247497559,1.6932682991027832,3.627514600753784,3.6077802181243896,0.34714218974113464
2015,1,3,NL133,29,5.601052761077881,1.7650731801986694,3.6992568969726562,3.488028049468994,0.24439366161823273
2015,1,3,NL211,64,5.612204074859619,1.8448278903961182,3.7365520000457764,3.375589370727539,0.2030494064092636
2015,1,3,NL212,31,5.636523246765137,1.7615221738815308,3.7104108333587646,3.7353878021240234,0.24193547666072845
2015,1,3,NL213,125,5.532987594604492,1.6250616312026978,3.5862720012664795,3.6152970790863037,0.4540448784828186
2015,1,3,NL221,144,5.573214530944824,1.5672633647918701,3.5776093006134033,3.767441749572754,0.03474942967295647
2015,1,3,NL224,56,5.772769927978516,1.3883625268936157,3.6004064083099365,3.762038469314575,0.03489876538515091
2015,1,3,NL225,91,5.603251934051514,1.4260133504867554,3.5137367248535156,3.6121020317077637,0.46083515882492065
2015,1,3,NL226,133,5.681740760803223,1.1610220670700073,3.4379663467407227,4.271563529968262,0.06144341453909874
2015,1,3,NL230,46,5.713399410247803,1.9596866369247437,3.8358259201049805,3.409135580062866,0
2015,1,3,NL310,199,6.004991054534912,1.9785245656967163,4.0051116943359375,3.6144773960113525,0.0008531230851076543
2015,1,3,NL321,81,6.516867637634277,2.745713233947754,4.638027191162109,3.667731523513794,0.006780420895665884
2015,1,3,NL323,40,6.451612949371338,2.6483871936798096,4.5580644607543945,3.225806474685669,0
2015,1,3,NL324,51,6.419508457183838,2.415283441543579,4.429693698883057,3.376047134399414,0
2015,1,3,NL325,32,6.4434356689453125,2.6469268798828125,4.552369594573975,3.250776767730713,0
2015,1,3,NL327,75,6.060093402862549,2.0258336067199707,4.050114154815674,3.5671000480651855,0
2015,1,3,NL328,47,6.541444301605225,2.8949663639068604,4.716296195983887,3.5753631591796875,0
2015,1,3,NL329,200,6.323164939880371,2.28429913520813,4.312910079956055,3.5925304889678955,0
2015,1,3,NL332,152,6.412374973297119,2.6715810298919678,4.529669284820557,3.5308263301849365,0
2015,1,3,NL333,36,6.437358379364014,2.841142416000366,4.635066032409668,3.688640594482422,0
2015,1,3,NL337,72,6.415702819824219,2.642085313796997,4.526968479156494,3.3461568355560303,0
2015,1,3,NL33A,83,5.9850993156433105,1.702113151550293,3.8626914024353027,3.57840895652771,0.007884918712079525
2015,1,3,NL33B,62,6.180191993713379,1.9681236743927002,4.0872626304626465,3.2567968368530273,0
2015,1,3,NL33C,317,6.4033122062683105,2.6366782188415527,4.512966156005859,3.797664165496826,0.0001217884782818146
2015,1,3,NL341,25,6.599022388458252,2.468236207962036,4.527938365936279,2.9679322242736816,0.003225806402042508
2015,1,3,NL342,51,6.598121166229248,2.9697160720825195,4.7767720222473145,2.919924020767212,0.0027947798371315002
2015,1,3,NL411,132,6.248534202575684,1.829962134361267,4.027552127838135,3.3631889820098877,0.003562952158972621
2015,1,3,NL412,110,6.048403263092041,1.510526180267334,3.776203155517578,3.4934206008911133,0.01920809969305992
2015,1,3,NL413,121,5.983891487121582,1.3100143671035767,3.6584792137145996,3.2768778800964355,0.12761835753917694
2015,1,3,NL414,162,6.042094707489014,1.338809847831726,3.696876049041748,2.9323842525482178,0.1127404198050499
