country_name,earliest_year,last_year,number_of_measurements
Belgique/België,2000,2021,880240
Česko,2005,2021,242760
Danmark,2007,2021,168834
Eesti,2000,2020,67880
España,2000,2021,1333400
France,2013,2021,914020
Italia,2011,2021,1181280
Latvija,2000,2021,135840
Lietuva,2000,2021,226600
Luxembourg,2000,2021,22620
Magyarország,2000,2021,452400
Nederland,2015,2021,279200
Österreich,2000,2021,791000
Polska,2000,2021,1652720
Portugal,2000,2021,566000
România,2015,2021,288960
Slovensko,2000,2021,180800
Suomi/Finland,2000,2021,430540
Sverige,2000,2021,475860
United Kingdom,2015,2020,1060798
Ελλάδα ,2015,2021,358800
Κύπρος ,2015,2021,6900
България ,2000,2021,634480
,2000,2021,2356262
