country_name,year,number_of_measurements
Belgique/België,1989,432
Belgique/België,1990,432
Belgique/België,1991,432
Belgique/België,1992,432
Belgique/België,1993,432
Belgique/België,1994,432
Belgique/België,1995,432
Belgique/België,1996,432
Belgique/België,1997,432
Belgique/België,1998,432
Belgique/België,1999,432
Belgique/België,2000,432
Belgique/België,2001,432
Belgique/België,2002,432
Belgique/België,2003,432
Belgique/België,2004,432
Belgique/België,2005,432
Belgique/België,2006,432
Belgique/België,2007,432
Belgique/België,2008,432
Belgique/België,2009,432
Belgique/België,2010,432
Belgique/België,2011,432
Belgique/België,2012,432
Belgique/België,2013,432
Belgique/België,2014,432
Belgique/België,2015,432
Belgique/België,2016,432
Belgique/België,2017,432
Belgique/België,2018,432
Danmark,1989,132
Danmark,1990,132
Danmark,1991,132
Danmark,1992,132
Danmark,1993,132
Danmark,1994,132
Danmark,1995,132
Danmark,1996,132
Danmark,1997,132
Danmark,1998,132
Danmark,1999,132
Danmark,2000,132
Danmark,2001,132
Danmark,2002,132
Danmark,2003,132
Danmark,2004,132
Danmark,2005,132
Danmark,2006,132
Danmark,2007,132
Danmark,2008,132
Danmark,2009,132
Danmark,2010,132
Danmark,2011,132
Danmark,2012,132
Danmark,2013,132
Danmark,2014,132
Danmark,2015,132
Danmark,2016,132
Danmark,2017,132
Danmark,2018,132
Deutschland,1989,4812
Deutschland,1990,4812
Deutschland,1991,4800
Deutschland,1992,4812
Deutschland,1993,4812
Deutschland,1994,4812
Deutschland,1995,4812
Deutschland,1996,4812
Deutschland,1997,4812
Deutschland,1998,4812
Deutschland,1999,4812
Deutschland,2000,4812
Deutschland,2001,4812
Deutschland,2002,4812
Deutschland,2003,4812
Deutschland,2004,4812
Deutschland,2005,4812
Deutschland,2006,4812
Deutschland,2007,4812
Deutschland,2008,4812
Deutschland,2009,4812
Deutschland,2010,4812
Deutschland,2011,4812
Deutschland,2012,4812
Deutschland,2013,4812
Deutschland,2014,4812
Deutschland,2015,4812
Deutschland,2016,4812
Deutschland,2017,4812
Deutschland,2018,4812
España,1989,624
España,1990,624
España,1991,624
España,1992,624
España,1993,624
España,1994,624
España,1995,624
España,1996,624
España,1997,624
España,1998,624
España,1999,624
España,2000,624
España,2001,624
España,2002,624
España,2003,624
España,2004,624
España,2005,624
España,2006,624
España,2007,624
España,2008,624
España,2009,624
España,2010,624
España,2011,624
España,2012,624
España,2013,624
España,2014,624
España,2015,624
España,2016,624
España,2017,624
España,2018,624
France,1989,1152
France,1990,1152
France,1991,1152
France,1992,1152
France,1993,1152
France,1994,1152
France,1995,1152
France,1996,1152
France,1997,1152
France,1998,1152
France,1999,1152
France,2000,1152
France,2001,1152
France,2002,1152
France,2003,1152
France,2004,1152
France,2005,1152
France,2006,1152
France,2007,1152
France,2008,1152
France,2009,1152
France,2010,1152
France,2011,1152
France,2012,1152
France,2013,1152
France,2014,1152
France,2015,1152
France,2016,1152
France,2017,1152
France,2018,1152
Italia,1989,1284
Italia,1990,1284
Italia,1991,1284
Italia,1992,1284
Italia,1993,1284
Italia,1994,1284
Italia,1995,1284
Italia,1996,1284
Italia,1997,1284
Italia,1998,1284
Italia,1999,1284
Italia,2000,1284
Italia,2001,1284
Italia,2002,1284
Italia,2003,1284
Italia,2004,1284
Italia,2005,1284
Italia,2006,1284
Italia,2007,1284
Italia,2008,1284
Italia,2009,1284
Italia,2010,1284
Italia,2011,1284
Italia,2012,1284
Italia,2013,1284
Italia,2014,1284
Italia,2015,1284
Italia,2016,1284
Italia,2017,1284
Italia,2018,1284
Luxembourg,1989,12
Luxembourg,1990,12
Luxembourg,1991,12
Luxembourg,1992,12
Luxembourg,1993,12
Luxembourg,1994,12
Luxembourg,1995,12
Luxembourg,1996,12
Luxembourg,1997,12
Luxembourg,1998,12
Luxembourg,1999,12
Luxembourg,2000,12
Luxembourg,2001,12
